team_id,team,team_provider,player,status,short_id,provider_id,position,tournament_season_id,team_2627,team_id_26-27,team_provider_id_26-27,change_type,source_url,confidence,notes
3bb58f66-38c1-4f9c-adff-0ac33a01533b,Saracens,1500,Oli Hoskins,ACTIVE,6880,19814,prop,9233192a-bfed-489b-b224-5c9e02f587de,Saracens,3bb58f66-38c1-4f9c-adff-0ac33a01533b,1500,stay,,,
804c604a-08f9-4d6c-b74d-2936f9b370dc,Gloucester Rugby,1100,Rhys Price,ACTIVE,8345,60636,scrum-half,9233192a-bfed-489b-b224-5c9e02f587de,Gloucester Rugby,804c604a-08f9-4d6c-b74d-2936f9b370dc,1100,stay,,,
3bb58f66-38c1-4f9c-adff-0ac33a01533b,Saracens,1500,Lucio Cinti,ACTIVE,7386,33586,centre,9233192a-bfed-489b-b224-5c9e02f587de,Saracens,3bb58f66-38c1-4f9c-adff-0ac33a01533b,1500,stay,,,
6959008c-ebd2-49ed-b1db-29a124e3e922,Harlequins,1150,Jack Walker,ACTIVE,6968,21618,hooker,9233192a-bfed-489b-b224-5c9e02f587de,Harlequins,6959008c-ebd2-49ed-b1db-29a124e3e922,1150,stay,,,
6e09f000-1b71-426f-b349-2c528cba8584,Vodacom Bulls,97,Cyle Brink,ACTIVE,6977,21702,loose-forward,b314ec41-b6b0-4274-a98f-4a675628d202,Vodacom Bulls,6e09f000-1b71-426f-b349-2c528cba8584,97,stay,,,
e33c7a17-a675-46a9-b68c-be767cc211db,Northampton Saints,1400,Robbie Smith,ACTIVE,7231,27474,hooker,9233192a-bfed-489b-b224-5c9e02f587de,Northampton Saints,e33c7a17-a675-46a9-b68c-be767cc211db,1400,stay,,,
473a715d-80f5-4707-a8e2-52902fadc9bc,Sale Sharks,1450,Dylan Hodkinson,ACTIVE,8265,903359,lock,9233192a-bfed-489b-b224-5c9e02f587de,Sale Sharks,473a715d-80f5-4707-a8e2-52902fadc9bc,1450,stay,,,
41d2c944-4a5a-4de0-8eb4-e5b57835cff7,Connacht Rugby,3400,Cathal Forde,ACTIVE,7523,36708,centre,b314ec41-b6b0-4274-a98f-4a675628d202,Connacht Rugby,41d2c944-4a5a-4de0-8eb4-e5b57835cff7,3400,stay,,,
17751c9c-264e-464e-adc8-1468fd75dbef,Newcastle Red Bull,1350,Ollie Leatherbarrow,ACTIVE,7590,38596,loose-forward,9233192a-bfed-489b-b224-5c9e02f587de,Newcastle Red Bull,17751c9c-264e-464e-adc8-1468fd75dbef,1350,stay,,,
09c7ae37-447c-4020-9e2e-b5239ee2d58b,Scarlets,1700,Elis Price,ACTIVE,8332,62417,fly-half,b314ec41-b6b0-4274-a98f-4a675628d202,Scarlets,09c7ae37-447c-4020-9e2e-b5239ee2d58b,1700,stay,,,
